,Movie Title,Revenue,popularity,vote_count,vote_average,language,genre_ids
145,Raiders of the Lost Ark,248159971,26.688,7497,7.9,en,"[28, 12]"
146,Toy Story 2,245852179,26.324,8787,7.5,en,"[16, 35, 10751]"
147,Transformers: Age of Extinction,245439076,22.777,5270,5.8,en,"[28, 12, 878]"
148,Cars,244082982,60.62,8782,6.7,en,"[12, 16, 35, 10751]"
149,Bruce Almighty,242829261,26.276,7072,6.6,en,"[35, 14]"
150,Ghostbusters,242582079,17.198,4204,5.4,en,"[28, 35, 14]"
151,Ghostbusters,242582079,21.739,5285,7.4,en,"[35, 14]"
152,Ghostbusters,128350574,17.198,4204,5.4,en,"[28, 35, 14]"
153,Ghostbusters,128350574,21.739,5285,7.4,en,"[35, 14]"
154,Twister,241721524,14.593,1794,6.3,en,"[28, 12, 18]"
155,My Big Fat Greek Wedding,241438208,11.233,1289,6.4,en,"[35, 18, 10749]"
156,Maleficent,241410378,32.014,9369,7.1,en,"[28, 12, 14, 10749, 10751]"
157,Pirates of the Caribbean: On Stranger Tides,241071802,27.482,9444,6.4,en,"[28, 12, 14]"
158,Shrek Forever After,238736787,13.889,4358,6.2,en,"[12, 16, 35, 14, 10751]"
159,Brave,237283207,30.432,9077,6.9,en,"[28, 12, 16, 35, 14, 10751]"
160,Oz the Great and Powerful,234911825,11.163,5120,5.8,en,"[12, 14, 10751]"
161,Beverly Hills Cop,234760478,16.472,2167,7.1,en,"[28, 35, 80]"
162,War of the Worlds,234280354,14.73,5013,6.4,en,"[12, 878, 53]"
163,Fantastic Beasts and Where to Find Them,234037575,30.037,13396,7.4,en,"[12, 14, 10751]"
164,X-Men: Days of Future Past,233921534,22.617,10971,7.5,en,"[28, 12, 14, 878]"
165,Cast Away,233632142,15.302,6881,7.6,en,"[12, 18]"
166,The Exorcist,232906145,19.216,4442,7.6,en,[27]
167,Doctor Strange,232641920,33.216,14186,7.4,en,"[28, 12, 14, 878]"
168,Doctor Strange,232641920,9.178,149,6.3,en,"[28, 16, 14, 878]"
169,Justice League,229024295,35.566,8507,6.2,en,"[28, 12, 14, 878]"
170,Star Trek Into Darkness,228778661,20.113,6670,7.3,en,"[28, 12, 878]"
171,The Martian,228433663,36.446,13448,7.7,en,"[12, 18, 878]"
172,Signs,227966634,13.615,3286,6.6,en,"[18, 9648, 878, 53]"
173,Hancock,227946274,13.56,6115,6.3,en,"[28, 14]"
174,The Bourne Ultimatum,227471070,15.682,4916,7.4,en,"[28, 18, 9648, 53]"
175,Logan,226277068,32.224,13597,7.8,en,"[28, 18, 878]"
176,Rush Hour 2,226164286,13.479,2220,6.6,en,"[28, 35, 80]"
177,The Fate of the Furious,226008385,23.608,6910,6.9,en,"[28, 80, 53]"
178,WALL·E,223808164,32.842,12075,8.0,en,"[16, 878, 10751]"
179,Big Hero 6,222527828,44.792,11167,7.8,en,"[28, 12, 16, 35, 10751]"
180,Toy Story,222498679,30.549,11726,7.9,en,"[16, 35, 10751]"
181,Mission: Impossible - Fallout,220159104,37.467,4652,7.3,en,"[28, 12]"
182,National Treasure: Book of Secrets,219964115,16.795,3321,6.2,en,"[28, 12, 9648, 53]"
183,Alvin and the Chipmunks: The Squeakquel,219614612,16.222,1758,5.5,en,"[16, 35, 14, 10402, 10751]"
184,Mrs. Doubtfire,219195243,14.934,3741,7.2,en,"[35, 18, 10751]"
185,Ted,218815487,14.627,8460,6.3,en,"[35, 14]"
186,King Kong,218080025,17.712,4802,6.7,en,"[12, 18, 28]"
187,King Kong,218080025,12.805,737,7.6,en,"[12, 18, 27]"
188,King Kong,218080025,9.18,398,6.0,en,"[12, 18]"
189,King Kong,52614445,17.712,4802,6.7,en,"[12, 18, 28]"
190,King Kong,52614445,12.805,737,7.6,en,"[12, 18, 27]"
191,King Kong,52614445,9.18,398,6.0,en,"[12, 18]"
192,Ghost,217631306,14.1,3205,7.1,en,"[18, 14, 9648, 53, 10749]"
193,How to Train Your Dragon,217581231,25.081,8593,7.7,en,"[12, 16, 14, 10751]"
194,The Da Vinci Code,217536138,17.362,5824,6.7,en,"[9648, 53]"
195,Alvin and the Chipmunks,217326974,17.08,2813,5.7,en,"[16, 35, 14, 10751]"
196,Saving Private Ryan,217049603,26.202,9540,8.1,en,"[18, 36, 10752]"
197,Ant-Man and the Wasp,216648740,32.486,7729,6.9,en,"[28, 12, 35, 878]"
198,Bohemian Rhapsody,216428042,33.68,10045,8.0,en,"[18, 10402]"
199,Madagascar 3: Europe's Most Wanted,216391482,14.699,3816,6.5,en,"[16, 35, 10751]"
200,Kung Fu Panda,215434591,20.527,6912,7.1,en,"[12, 16, 35, 10751]"
201,Mission: Impossible II,215409889,17.824,3970,6.1,en,"[28, 12, 53]"
202,A Star Is Born,215288866,27.403,7420,7.5,en,"[18, 10402, 10749]"
203,A Star Is Born,215288866,10.55,97,5.9,en,"[18, 10402, 10749]"
204,A Star Is Born,215288866,7.232,144,7.3,en,"[18, 10402, 10749]"
205,A Star Is Born,80000000,27.403,7420,7.5,en,"[18, 10402, 10749]"
206,A Star Is Born,80000000,10.55,97,5.9,en,"[18, 10402, 10749]"
207,A Star Is Born,80000000,7.232,144,7.3,en,"[18, 10402, 10749]"
208,The Lorax,214030500,22.068,2063,6.4,en,"[16, 10751]"
209,Solo: A Star Wars Story,213767512,26.035,4888,6.6,en,"[12, 878]"
210,Venom,213515506,33.934,8029,6.6,en,"[28, 878]"
211,Venom,213515506,8.667,121,5.0,en,"[27, 53]"
212,Austin Powers in Goldmember,213307889,15.464,1943,5.9,en,"[35, 80, 878]"
213,It Chapter Two,211593228,40.774,3265,6.8,en,"[18, 14, 27]"
214,Back to the Future,211159762,27.211,12369,8.3,en,"[12, 35, 878, 10751]"
215,300,210614939,15.803,8995,7.1,en,"[28, 12, 10752]"
216,Coco,209726015,31.771,10359,8.2,en,"[16, 10751, 35, 12, 14]"
217,Mission: Impossible - Ghost Protocol,209397903,25.637,6675,7.0,en,"[28, 12, 53]"
218,Wedding Crashers,209255921,12.589,2782,6.4,en,"[35, 10749]"
219,Sherlock Holmes,209028679,17.248,9909,7.2,en,"[28, 12, 80, 9648]"
220,Dawn of the Planet of the Apes,208545589,22.557,7721,7.3,en,"[28, 18, 878, 53]"
221,Batman Begins,206852432,41.208,13651,7.6,en,"[28, 80, 18]"
222,Charlie and the Chocolate Factory,206459076,27.15,9379,7.0,en,"[12, 35, 14, 10751]"
223,Ratatouille,206445654,21.394,10255,7.7,en,"[16, 35, 10751, 14]"
224,Thor: The Dark World,206362140,27.335,11350,6.6,en,"[28, 12, 14]"
225,Austin Powers: The Spy Who Shagged Me,206040086,13.62,2025,6.2,en,"[12, 35, 80, 878]"
226,Terminator 2: Judgment Day,205881154,32.863,7630,8.0,en,"[28, 878, 53]"
227,The Amazing Spider-Man 2,202853933,22.079,8013,6.4,en,"[28, 12, 14]"
228,World War Z,202359711,19.871,10087,6.7,en,"[28, 18, 27, 878, 53]"
229,The Mummy Returns,202019785,18.134,4384,6.2,en,"[28, 12, 14]"
230,Armageddon,201578182,18.097,4825,6.7,en,"[28, 53, 878, 12]"
231,Cinderella,201151353,31.0,5041,6.7,en,"[18, 14, 10749, 10751]"
232,Cinderella,201151353,22.03,4196,7.0,en,"[10751, 14, 16, 10749]"
233,Cinderella,93141149,31.0,5041,6.7,en,"[18, 14, 10749, 10751]"
234,Cinderella,93141149,22.03,4196,7.0,en,"[10751, 14, 16, 10749]"
235,Ralph Breaks the Internet,201091711,27.498,3771,7.2,en,"[12, 16, 35, 10751]"
236,Gone with the Wind,200852579,16.129,2055,7.9,en,"[18, 10749, 10752]"
237,Tangled,200821936,21.71,7239,7.5,en,"[16, 10751]"
238,Godzilla,200676069,13.984,5650,6.1,en,"[28, 18, 878]"
239,Godzilla,200676069,14.417,2233,5.5,en,"[878, 28, 53]"
240,Godzilla,200676069,12.291,383,7.3,ja,"[53, 27, 878]"
241,Godzilla,136314294,13.984,5650,6.1,en,"[28, 18, 878]"
242,Godzilla,136314294,14.417,2233,5.5,en,"[878, 28, 53]"
243,Godzilla,136314294,12.291,383,7.3,ja,"[53, 27, 878]"
244,Superman Returns,200081192,13.373,2646,5.6,en,"[28, 12, 878]"
245,Spectre,200074609,34.892,7286,6.4,en,"[28, 12, 80]"
246,Bad Boys for Life,198636178,86.509,1061,6.3,en,"[28, 80, 53]"
247,Pearl Harbor,198542554,15.177,3882,6.8,en,"[18, 36, 10749, 10752]"
248,Happy Feet,198000317,11.954,3199,6.0,en,"[16, 35, 10751]"
249,Indiana Jones and the Last Crusade,197171806,18.497,6089,7.8,en,"[12, 28]"
250,Ice Age: Dawn of the Dinosaurs,196573705,18.812,5163,6.6,en,"[12, 16, 35, 10751]"
251,Ice Age: The Meltdown,195330621,23.006,6517,6.6,en,"[12, 16, 35, 10751]"
252,Mission: Impossible - Rogue Nation,195042377,20.648,5762,7.1,en,"[28, 12]"
253,Twilight,193962473,22.625,8300,6.0,en,"[14, 18, 10749]"
254,Men in Black II,193735288,26.177,6507,6.3,en,"[28, 12, 35, 878]"
255,Madagascar,193595521,19.333,7015,6.8,en,"[16, 10751]"
256,22 Jump Street,191719337,12.141,5631,6.9,en,"[28, 35, 80]"
257,Cars 2,191452396,19.892,4616,5.9,en,"[16, 10751, 12, 35]"
258,Teenage Mutant Ninja Turtles,191204754,32.589,4660,5.8,en,"[28, 12, 35, 14, 878]"
259,Teenage Mutant Ninja Turtles,191204754,11.631,932,6.6,en,"[28, 12, 35, 878, 10751]"
260,Teenage Mutant Ninja Turtles,135265915,32.589,4660,5.8,en,"[28, 12, 35, 14, 878]"
261,Teenage Mutant Ninja Turtles,135265915,11.631,932,6.6,en,"[28, 12, 35, 878, 10751]"
262,Spider-Man: Into the Spider-Verse,190241310,46.989,6437,8.4,en,"[28, 12, 16, 35, 878]"
263,Grease,189969103,25.964,4435,7.4,en,[10749]
264,Dunkirk,189740665,28.914,10339,7.4,en,"[28, 18, 10752]"
265,Wreck-It Ralph,189422889,19.615,8605,7.3,en,"[12, 16, 35, 10751]"
266,A Quiet Place,188024361,38.09,7329,7.3,en,"[18, 27, 878]"
267,Interstellar,188020017,42.426,21014,8.3,en,"[12, 18, 878]"
268,Gladiator,187705427,24.044,11003,8.1,en,"[28, 12, 18]"
269,The Polar Express,187224490,14.13,3684,6.6,en,"[12, 16, 14, 10751]"
270,The Croods,187168425,16.202,4308,6.8,en,"[28, 12, 16, 35, 14, 10751]"
271,Sherlock Holmes: A Game of Shadows,186848418,16.466,7065,7.1,en,"[28, 12, 80, 9648]"
272,The Day After Tomorrow,186740799,13.36,4898,6.4,en,"[28, 12, 878, 53]"
273,Mr. & Mrs. Smith,186336279,22.517,6459,6.6,en,"[28, 35, 18, 53]"
274,Snow White and the Seven Dwarfs,184925486,22.12,4749,7.1,en,"[16, 14, 10751]"
275,Pitch Perfect 2,184296230,23.672,3948,6.8,en,"[35, 10402]"
276,Dances with Wolves,184208848,18.88,2300,7.8,en,"[12, 18, 37]"
277,Batman Forever,184069126,17.929,3152,5.3,en,"[28, 80, 14]"
278,The Fugitive,183875760,13.316,2365,7.4,en,"[12, 28, 53, 80, 9648]"
279,The Revenant,183637894,23.776,12356,7.5,en,"[37, 18, 12]"
280,The Revenant,183637894,9.022,140,6.2,en,"[35, 27]"
281,Ocean's Eleven,183417150,14.994,7407,7.4,en,"[53, 80]"
282,Ocean's Eleven,183417150,8.789,169,6.6,en,"[35, 80, 10402, 53]"
283,The Simpsons Movie,183135014,13.73,5111,6.9,en,"[16, 35, 10751]"
284,What Women Want,182811707,13.516,2331,6.3,en,"[35, 10749]"
285,The Perfect Storm,182618434,13.155,1233,6.3,en,[18]
286,Lincoln,182207973,12.35,2493,6.8,en,"[36, 18]"
287,Liar Liar,181410615,13.587,3262,6.6,en,[35]
288,Thor,181030624,31.108,14194,6.7,en,"[12, 14, 28]"
289,Mission: Impossible,180981856,20.326,5289,6.9,en,"[12, 28, 53]"
290,Ant-Man,180202163,28.786,13354,7.1,en,"[28, 12, 878]"
291,Planet of the Apes,180011740,16.557,2435,5.7,en,"[53, 878, 28, 12]"
292,Planet of the Apes,180011740,15.775,1839,7.6,en,"[28, 12, 18, 878]"
293,Madagascar: Escape 2 Africa,180010950,14.992,4311,6.4,en,"[16, 35, 10751]"
294,Indiana Jones and the Temple of Doom,179870271,18.488,5520,7.2,en,"[12, 28]"
295,Top Gun,179800601,13.522,3604,6.9,en,"[28, 18]"
296,Hitch,179495555,12.244,3549,6.4,en,"[35, 18, 10749]"
297,Men in Black 3,179020854,14.211,7126,6.4,en,"[28, 35, 878]"
298,Pretty Woman,178406268,31.577,4356,7.3,en,"[35, 10749]"
299,Home,177397510,14.208,2600,6.8,en,"[16, 35, 14, 878, 10751]"
300,Home,177397510,7.358,290,8.0,fr,[99]
301,Night at the Museum: Battle of the Smithsonian,177243721,15.399,4583,6.1,en,"[12, 14, 28, 35, 10751]"
302,Tootsie,177200000,9.372,932,7.2,en,"[35, 10749]"
303,How to Train Your Dragon 2,177002924,26.902,6305,7.7,en,"[28, 12, 16, 35, 14, 10751]"
304,Rise of the Planet of the Apes,176760185,17.521,7985,7.2,en,"[28, 18, 878, 53]"
305,Captain America: The First Avenger,176654505,17.455,14235,6.9,en,"[28, 12, 878]"
306,The Karate Kid,176591618,10.955,2016,7.0,en,"[18, 28]"
307,The Karate Kid,176591618,13.15,3566,6.4,en,"[28, 12, 18, 10751]"
308,The Karate Kid,91077276,10.955,2016,7.0,en,"[18, 28]"
309,The Karate Kid,91077276,13.15,3566,6.4,en,"[28, 12, 18, 10751]"
310,There's Something About Mary,176484651,13.359,3255,6.5,en,"[35, 10749]"
311,Ice Age,176387405,21.678,8419,7.3,en,"[12, 16, 35, 10751]"
312,The Bourne Supremacy,176241941,17.496,4833,7.3,en,"[28, 18, 53]"
313,Get Out,176040665,28.736,10268,7.5,en,"[27, 9648, 53]"
314,The Lego Batman Movie,175750384,17.098,3217,7.2,en,"[28, 16, 35, 14, 10751]"
315,Us,175084580,23.109,3423,7.0,en,"[53, 27, 9648]"
316,The Boss Baby,175003033,7.797,4695,6.4,en,"[16, 35, 10751]"
317,Crocodile Dundee,174803506,10.591,1055,6.3,en,"[12, 35]"
318,Elf,174626840,12.333,2288,6.6,en,"[35, 10751, 14]"
319,Crazy Rich Asians,174532921,12.688,1939,7.1,en,"[35, 18, 10749]"
320,The Greatest Showman,174340174,20.669,5970,8.0,en,[18]
321,Fast & Furious Presents: Hobbs & Shaw,173956935,42.061,2629,6.6,en,"[28, 12, 35]"
322,Apollo 13,173837933,24.621,3255,7.4,en,"[18, 36]"
323,Home Alone 2: Lost in New York,173585516,18.346,5661,6.5,en,"[35, 10751, 12, 80]"
324,National Treasure,173008894,18.673,3996,6.5,en,"[28, 12, 9648, 53]"
325,Air Force One,172956409,11.889,1590,6.4,en,"[28, 53]"
326,Rain Man,172825435,13.181,3616,7.8,en,[18]
327,Pirates of the Caribbean: Dead Men Tell No Tales,172558876,24.398,7688,6.6,en,"[12, 28, 14, 35]"
328,TRON: Legacy,172062763,11.86,4795,6.4,en,"[28, 12, 878]"
329,Mary Poppins Returns,171958438,19.338,2013,6.5,en,"[35, 14, 10751]"
330,The Matrix,171479930,33.254,16150,8.1,en,"[28, 878]"
331,True Grit,171243005,13.012,3240,7.3,en,"[12, 18, 37]"
332,True Grit,171243005,7.955,394,7.4,en,"[18, 37]"
